keyword,canonical_keyword,volume,kd,cpc,topical_silo,primary_entity,entity_type,intent,intent_detail,cluster_label,recommended_page_type,target_live_url,target_local_url,resolved_local_url,page_title,page_id,page_layer,edit_mode,action_taken,coverage_status,coverage_signal,page_word_count,exact_present,canonical_present,entity_present,intent_signal_present,status_code,edit_url,support_key,managed_key,evidence_snippet
chicken big mac,mcdonald's big mac,19000,0,0.31,Burgers,Big Mac,product_variant,overview,overview_general,Big Mac - overview general,item,https://mcdomenuusa.com/menu/burgers-menu/big-mac/,http://localhost/wordpress/menu/burgers-menu/big-mac/,http://localhost/wordpress/menu/burgers-menu/big-mac/,Big Mac Price USA,405,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9477,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=405&action=edit,,burgers::big-mac,"Big Mac Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
mcdonald's menu breakfast,mcdonald's menu,17000,5,0.24,Brand Core,McDonald's Menu,menu_hub,overview,overview_menu,McDonald's Menu - overview menu,hub,https://mcdomenuusa.com/menu/,http://localhost/wordpress/menu/,http://localhost/wordpress/menu/,McDonald's Full Menu USA,283,Menu hub page,Page editor + theme-rendered semantic layer,Retained or optimized on the main menu hub,Canonical keyword present,Variant keyword is covered through its canonical keyword on the mapped page,12739,No,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=283&action=edit,,menu,"ce list ↓ M McDonald's Menu Prices USA McDonald’s Full Menu USA Full Menu Guide McDonald’s Menu Prices USA 2026 – Full Menu with Calories & Current Deals This is the complete McDonald’s USA menu guide for burgers, b"
mccrispy,mccrispy,17000,8,0.45,Chicken & Fish,McCrispy,product_variant,overview,overview_general,McCrispy - overview general,item,https://mcdomenuusa.com/menu/chicken-fish/mccrispy/,http://localhost/wordpress/menu/chicken-fish/mccrispy/,http://localhost/wordpress/menu/chicken-fish/mccrispy/,McCrispy Price USA,418,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Exact keyword present,Exact keyword string found on the mapped rendered page,9464,Yes,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=418&action=edit,,chickenfish::mccrispy,"McCrispy Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
mcdvoice.com survey,mcdvoice,16000,1,0.03,Customer Journey,McDVoice Survey,service_page,service_task,service_survey,McDVoice Survey - service survey,service,https://mcdomenuusa.com/mcdvoice/,http://localhost/wordpress/mcdvoice/,http://localhost/wordpress/mcdvoice/,McDVoice Survey,1432,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Exact keyword present,Exact keyword string found on the mapped rendered page,9953,Yes,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=1432&action=edit,mcdvoice,,"cDonald’s customer survey lives, and what readers usually mean when they search mcdvoice.com survey,"",""name"":""McDVoice Survey | McDonald's Menu Prices USA"",""@id"":""http://localhost/wordpress/mcdvoice/#richSnippet"",""isPar"
mcdonald menu,mcdonald's menu,15000,67,0.09,Brand Core,McDonald's Menu,menu_hub,overview,overview_menu,McDonald's Menu - overview menu,hub,https://mcdomenuusa.com/menu/,http://localhost/wordpress/menu/,http://localhost/wordpress/menu/,McDonald's Full Menu USA,283,Menu hub page,Page editor + theme-rendered semantic layer,Retained or optimized on the main menu hub,Canonical keyword present,Variant keyword is covered through its canonical keyword on the mapped page,12739,No,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=283&action=edit,,menu,"ce list ↓ M McDonald's Menu Prices USA McDonald’s Full Menu USA Full Menu Guide McDonald’s Menu Prices USA 2026 – Full Menu with Calories & Current Deals This is the complete McDonald’s USA menu guide for burgers, b"
mcchicken calories,mcchicken calories,14000,0,0.09,Chicken & Fish,McChicken,product_variant,nutrition,nutrition_macros,McChicken - nutrition macros,item,https://mcdomenuusa.com/menu/chicken-fish/mcchicken/,http://localhost/wordpress/menu/chicken-fish/mcchicken/,http://localhost/wordpress/menu/chicken-fish/mcchicken/,McChicken Price USA,428,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Exact keyword present,Exact keyword string found on the mapped rendered page,9458,Yes,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=428&action=edit,,chickenfish::mcchicken,"g context This McChicken page works best for readers searching mcchicken price, mcchicken calories, or the current Chicken & Fish listing without scanning the whole menu first. Right now the tracked reference shows $3."
mcdonald big mac meal,mcdonald big mac meal,13000,52,0.5,Value & Deals,Big Mac Meal,product_variant,overview,overview_menu,Big Mac Meal - overview menu,item,https://mcdomenuusa.com/menu/extra-value-meals/big-mac-meal/,http://localhost/wordpress/menu/extra-value-meals/big-mac-meal/,http://localhost/wordpress/menu/extra-value-meals/big-mac-meal/,Big Mac Meal Price USA,312,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9540,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=312&action=edit,,meals::big-mac-meal,"Big Mac Meal Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
mcdonald's menu with prices 2025,mcdonald's menu with prices 2025,13000,63,0.3,Brand Core,McDonald's Menu,menu_hub,commercial,price_value,McDonald's Menu - price value,hub,https://mcdomenuusa.com/menu/,http://localhost/wordpress/menu/,http://localhost/wordpress/menu/,McDonald's Full Menu USA,283,Menu hub page,Page editor + theme-rendered semantic layer,Retained or optimized on the main menu hub,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,12739,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=283&action=edit,,menu,"McDonald’s Full Menu USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"":""http://localhost/wordpr"
mcdonalds menu with prices,mcdonald's menu with prices 2025,13000,69,0.27,Brand Core,McDonald's Menu,menu_hub,commercial,price_value,McDonald's Menu - price value,hub,https://mcdomenuusa.com/menu/,http://localhost/wordpress/menu/,http://localhost/wordpress/menu/,McDonald's Full Menu USA,283,Menu hub page,Page editor + theme-rendered semantic layer,Retained or optimized on the main menu hub,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,12739,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=283&action=edit,,menu,"McDonald’s Full Menu USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"":""http://localhost/wordpr"
mcdvoice.com,mcdvoice,11000,1,0.05,Customer Journey,McDVoice Survey,service_page,service_task,service_survey,McDVoice Survey - service survey,service,https://mcdomenuusa.com/mcdvoice/,http://localhost/wordpress/mcdvoice/,http://localhost/wordpress/mcdvoice/,McDVoice Survey,1432,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Exact keyword present,Exact keyword string found on the mapped rendered page,9953,Yes,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=1432&action=edit,mcdvoice,,"cDonald’s customer survey lives, and what readers usually mean when they search mcdvoice.com survey,"",""name"":""McDVoice Survey | McDonald's Menu Prices USA"",""@id"":""http://localhost/wordpress/mcdvoice/#richSnippet"""
www.mcdvoice.com,mcdvoice,11000,2,0.01,Customer Journey,McDVoice Survey,service_page,service_task,service_survey,McDVoice Survey - service survey,service,https://mcdomenuusa.com/mcdvoice/,http://localhost/wordpress/mcdvoice/,http://localhost/wordpress/mcdvoice/,McDVoice Survey,1432,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Exact keyword present,Exact keyword string found on the mapped rendered page,9953,Yes,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=1432&action=edit,mcdvoice,,"rvey lives, and what readers usually mean when they search mcdvoice.com survey, www.mcdvoice.com, or McDonald’s survey code. Most McDVoice visitors are not looking for menu prices at all. They want a simple path to t"
mcdonald's breakfast menu with prices,mcdonald's breakfast menu with prices,10000,0,0.4,Breakfast,Breakfast Menu,menu_guide,commercial,price_value,Breakfast Menu - price value,guide,https://mcdomenuusa.com/breakfast-menu/,http://localhost/wordpress/breakfast-menu/,http://localhost/wordpress/breakfast-menu/,McDonald's Breakfast Menu Prices USA,192,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,12822,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=192&action=edit,breakfast-menu,,"McDonald’s Breakfast Menu Prices USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],"""
how much is a big mac,how much is a big mac,9400,63,0.49,Burgers,Big Mac,product_variant,commercial,price_value,Big Mac - price value,item,https://mcdomenuusa.com/menu/burgers-menu/big-mac/,http://localhost/wordpress/menu/burgers-menu/big-mac/,http://localhost/wordpress/menu/burgers-menu/big-mac/,Big Mac Price USA,405,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9477,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=405&action=edit,,burgers::big-mac,"Big Mac Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
mcdonald's fries,mcdonald's fries,9300,24,0.11,Fries & Sides,Fries & Sides,menu_guide,overview,overview_general,Fries & Sides - overview general,guide,https://mcdomenuusa.com/fries-sides/,http://localhost/wordpress/fries-sides/,http://localhost/wordpress/fries-sides/,McDonald's Fries & Sides Prices USA,197,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Exact keyword present,Exact keyword string found on the mapped rendered page,11342,Yes,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=197&action=edit,fries-sides,,"McDonald’s Fries & Sides Prices USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organiza"
double cheeseburger,double cheeseburger,9100,6,0.22,Burgers,Double Cheeseburger,product_variant,overview,overview_general,Double Cheeseburger - overview general,item,https://mcdomenuusa.com/menu/burgers-menu/double-cheeseburger/,http://localhost/wordpress/menu/burgers-menu/double-cheeseburger/,http://localhost/wordpress/menu/burgers-menu/double-cheeseburger/,Double Cheeseburger Price USA,414,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Exact keyword present,Exact keyword string found on the mapped rendered page,9468,Yes,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=414&action=edit,,burgers::double-cheeseburger,"Double Cheeseburger Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
oreo mcflurry,oreo mcflurry,9000,6,0.21,Sweets & Treats,OREO McFlurry,product_variant,overview,overview_general,OREO McFlurry - overview general,item,https://mcdomenuusa.com/menu/sweets-treats/oreo-mcflurry/,http://localhost/wordpress/menu/sweets-treats/oreo-mcflurry/,http://localhost/wordpress/menu/sweets-treats/oreo-mcflurry-regular/,OREO McFlurry Price USA,1305,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Exact keyword present,Exact keyword string found on the mapped rendered page,9412,Yes,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=1305&action=edit,,sweets::oreo-mcflurry-regular,"OREO McFlurry Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
mcdonald's chicken mcnuggets,mcdonald's chicken mcnuggets,9000,0,0.5,Value & Deals,Chicken McNuggets,product_family,overview,overview_general,Chicken McNuggets - overview general,family_section,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/,http://localhost/wordpress/mcdonalds-deals-mcvalue-guide/,http://localhost/wordpress/menu/extra-value-meals/10-pc-chicken-mcnuggets-meal-med/,10 pc Chicken McNuggets Meal Price USA,1292,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9597,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=1292&action=edit,,meals::10-pc-chicken-mcnuggets-meal-med,"10 pc Chicken McNuggets Meal Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization"
big mac price,how much is a big mac,8900,61,0.37,Burgers,Big Mac,product_variant,commercial,price_value,Big Mac - price value,item,https://mcdomenuusa.com/menu/burgers-menu/big-mac/,http://localhost/wordpress/menu/burgers-menu/big-mac/,http://localhost/wordpress/menu/burgers-menu/big-mac/,Big Mac Price USA,405,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Exact keyword present,Exact keyword string found on the mapped rendered page,9477,Yes,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=405&action=edit,,burgers::big-mac,"Big Mac Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"":""h"
mcdonalds sauces,mcdonalds sauces,8700,5,0.2,Sauces & Condiments,Sauces & Condiments,menu_guide,overview,overview_general,Sauces & Condiments - overview general,guide,https://mcdomenuusa.com/sauces-condiments/,http://localhost/wordpress/sauces-condiments/,http://localhost/wordpress/sauces-condiments/,McDonald's Sauces & Condiments Prices USA,205,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,12496,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=205&action=edit,sauces-condiments,,w to move from category browsing into exact item decisions. The live mcdonald's sauces and condiments menu coverage on this site currently tracks 12 items. That means readers can move from the big-picture guide into the c
double quarter pounder with cheese,double quarter pounder with cheese,8200,0,0.65,Burgers,Double Quarter Pounder with Cheese,product_variant,overview,overview_general,Double Quarter Pounder with Cheese - overview general,item,https://mcdomenuusa.com/menu/burgers-menu/double-quarter-pounder-with-cheese/,http://localhost/wordpress/menu/burgers-menu/double-quarter-pounder-with-cheese/,http://localhost/wordpress/menu/burgers-menu/double-quarter-pounder-with-cheese/,Double Quarter Pounder with Cheese Price USA,409,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Exact keyword present,Exact keyword string found on the mapped rendered page,9546,Yes,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=409&action=edit,,burgers::double-quarter-pounder-with-cheese,"Double Quarter Pounder with Cheese Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
mc chicken,mcchicken,8100,5,0.52,Chicken & Fish,McChicken,product_variant,overview,overview_general,McChicken - overview general,item,https://mcdomenuusa.com/menu/chicken-fish/mcchicken/,http://localhost/wordpress/menu/chicken-fish/mcchicken/,http://localhost/wordpress/menu/chicken-fish/mcchicken/,McChicken Price USA,428,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Canonical keyword present,Variant keyword is covered through its canonical keyword on the mapped page,9458,No,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=428&action=edit,,chickenfish::mcchicken,"McChicken Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
mcdonald's chicken nuggets,mcdonald's chicken mcnuggets,7900,0,0.32,Value & Deals,Chicken McNuggets,product_family,overview,overview_general,Chicken McNuggets - overview general,family_section,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/,http://localhost/wordpress/mcdonalds-deals-mcvalue-guide/,http://localhost/wordpress/menu/extra-value-meals/10-pc-chicken-mcnuggets-meal-med/,10 pc Chicken McNuggets Meal Price USA,1292,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9597,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=1292&action=edit,,meals::10-pc-chicken-mcnuggets-meal-med,"10 pc Chicken McNuggets Meal Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization"
mcdonald breakfast menu,mcdonald's breakfast menu,7500,15,0.24,Breakfast,Breakfast Menu,menu_guide,overview,overview_menu,Breakfast Menu - overview menu,guide,https://mcdomenuusa.com/breakfast-menu/,http://localhost/wordpress/breakfast-menu/,http://localhost/wordpress/breakfast-menu/,McDonald's Breakfast Menu Prices USA,192,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Canonical keyword present,Variant keyword is covered through its canonical keyword on the mapped page,12822,No,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=192&action=edit,breakfast-menu,,"McDonald’s Breakfast Menu Prices USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],"""
mcdonald's double cheeseburger,double cheeseburger,7300,6,0.09,Burgers,Double Cheeseburger,product_variant,overview,overview_general,Double Cheeseburger - overview general,item,https://mcdomenuusa.com/menu/burgers-menu/double-cheeseburger/,http://localhost/wordpress/menu/burgers-menu/double-cheeseburger/,http://localhost/wordpress/menu/burgers-menu/double-cheeseburger/,Double Cheeseburger Price USA,414,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Canonical keyword present,Variant keyword is covered through its canonical keyword on the mapped page,9468,No,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=414&action=edit,,burgers::double-cheeseburger,"Double Cheeseburger Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
filet-o-fish,filet-o-fish,7200,8,0.8,Chicken & Fish,Filet-O-Fish,product_variant,overview,overview_general,Filet-O-Fish - overview general,item,https://mcdomenuusa.com/menu/chicken-fish/filet-o-fish/,http://localhost/wordpress/menu/chicken-fish/filet-o-fish/,http://localhost/wordpress/menu/chicken-fish/filet-o-fish/,Filet-O-Fish Price USA,426,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Exact keyword present,Exact keyword string found on the mapped rendered page,9510,Yes,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=426&action=edit,,chickenfish::filet-o-fish,"Filet-O-Fish Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
mcdouble vs double cheeseburger,mcdouble vs double cheeseburger,7100,0,0.28,Burgers,Double Cheeseburger vs McDouble,comparison,comparison,comparison,Double Cheeseburger vs McDouble,comparison,,,http://localhost/wordpress/burgers-menu/,McDonald's Burgers Menu Prices USA,193,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Guide-level semantic coverage,The comparison cluster has been assigned to the closest relevant guide page because the source cluster export did not contain a dedicated comparison URL,12406,No,No,No,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=193&action=edit,burgers-menu,,"cture guide into the current category data for Big Mac, Quarter Pounder builds, McDouble, Daily Double, cheeseburgers, hamburgers, and limited-time burger releases without leaving the native WordPress page st"
how much is a mcchicken,how much is a mcchicken,7000,55,0.5,Chicken & Fish,McChicken,product_variant,commercial,price_value,McChicken - price value,item,https://mcdomenuusa.com/menu/chicken-fish/mcchicken/,http://localhost/wordpress/menu/chicken-fish/mcchicken/,http://localhost/wordpress/menu/chicken-fish/mcchicken/,McChicken Price USA,428,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9458,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=428&action=edit,,chickenfish::mcchicken,"McChicken Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
